name,actors,rank,description,featured_review,created_at,updated_at
1. The Shawshank Redemption,"Frank Darabont, Stephen King, Frank Darabont, Tim Robbins, Morgan Freeman",1,"A Maine banker convicted of the murder of his wife and her lover in 1947 gradually forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",N/A,2024-08-05T11:09:33.180291,2024-08-05T11:09:33.180295
2. The Godfather,"Francis Ford Coppola, Mario Puzo, Francis Ford Coppola, Marlon Brando, Al Pacino",2,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son, Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",N/A,2024-08-05T11:09:34.492284,2024-08-05T11:09:34.492287
3. The Dark Knight,"Christopher Nolan, Jonathan Nolan, Christopher Nolan, David S. Goyer, Christian Bale",3,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, gordon and harvey dent work to stop the menace",N/A,2024-08-05T11:09:36.216025,2024-08-05T11:09:36.216029
4. The Godfather Part II,"Francis Ford Coppola, Francis Ford Coppola, Mario Puzo, Al Pacino, Robert De Niro",4,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",N/A,2024-08-05T11:09:37.738044,2024-08-05T11:09:37.738048
5. 12 Angry Men,"Sidney Lumet, Reginald Rose, Henry Fonda, Lee J. Cobb, Martin Balsam",5,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,N/A,2024-08-05T11:09:39.172290,2024-08-05T11:09:39.172293
6. Schindler's List,"Steven Spielberg, Thomas Keneally, Steven Zaillian, Liam Neeson, Ralph Fiennes",6,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",N/A,2024-08-05T11:09:40.713735,2024-08-05T11:09:40.713738
7. The Lord of the Rings: The Return of the King,"Peter Jackson, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Elijah Wood",7,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,N/A,2024-08-05T11:09:42.040240,2024-08-05T11:09:42.040244
8. Pulp Fiction,"Quentin Tarantino, Quentin Tarantino, Roger Avary, John Travolta, Uma Thurman",8,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",N/A,2024-08-05T11:09:43.911339,2024-08-05T11:09:43.911342
9. The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Elijah Wood",9,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,N/A,2024-08-05T11:09:45.245576,2024-08-05T11:09:45.245580
"10. The Good, the Bad and the Ugly","Sergio Leone, Luciano Vincenzoni, Sergio Leone, Agenore Incrocci, Clint Eastwood",10,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,N/A,2024-08-05T11:09:46.857845,2024-08-05T11:09:46.857848
11. Forrest Gump,"Robert Zemeckis, Winston Groom, Eric Roth, Tom Hanks, Robin Wright",11,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",N/A,2024-08-05T11:09:48.891423,2024-08-05T11:09:48.891426
12. The Lord of the Rings: The Two Towers,"Peter Jackson, J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Elijah Wood",12,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",N/A,2024-08-05T11:09:50.297792,2024-08-05T11:09:50.297795
13. Fight Club,"David Fincher, Chuck Palahniuk, Jim Uhls, Brad Pitt, Edward Norton",13,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,N/A,2024-08-05T11:09:51.735588,2024-08-05T11:09:51.735592
14. Inception,"Christopher Nolan, Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",14,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,N/A,2024-08-05T11:09:53.066696,2024-08-05T11:09:53.066700
15. Star Wars: Episode V - The Empire Strikes Back,"Irvin Kershner, Leigh Brackett, Lawrence Kasdan, George Lucas, Mark Hamill",15,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",N/A,2024-08-05T11:09:55.317539,2024-08-05T11:09:55.317542
16. The Matrix,"Lana Wachowski, Lilly Wachowski, Lilly Wachowski, Lana Wachowski, Keanu Reeves",16,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",N/A,2024-08-05T11:09:56.630776,2024-08-05T11:09:56.630779
17. GoodFellas,"Martin Scorsese, Nicholas Pileggi, Martin Scorsese, Robert De Niro, Ray Liotta",17,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",N/A,2024-08-05T11:09:58.646191,2024-08-05T11:09:58.646195
18. One Flew Over the Cuckoo's Nest,"Milos Forman, Lawrence Hauben, Bo Goldman, Ken Kesey, Jack Nicholson",18,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",N/A,2024-08-05T11:10:00.154857,2024-08-05T11:10:00.154861
19. Interstellar,"Christopher Nolan, Jonathan Nolan, Christopher Nolan, Matthew McConaughey, Anne Hathaway",19,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",N/A,2024-08-05T11:10:01.938431,2024-08-05T11:10:01.938434
20. Se7en,"David Fincher, Andrew Kevin Walker, Morgan Freeman, Brad Pitt, Kevin Spacey",20,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",N/A,2024-08-05T11:10:03.327167,2024-08-05T11:10:03.327170
21. It's a Wonderful Life,"Frank Capra, Frances Goodrich, Albert Hackett, Frank Capra, James Stewart",21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,N/A,2024-08-05T11:10:04.980133,2024-08-05T11:10:04.980137
22. Seven Samurai,"Akira Kurosawa, Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni, Toshirô Mifune",22,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",N/A,2024-08-05T11:10:06.427706,2024-08-05T11:10:06.427708
23. The Silence of the Lambs,"Jonathan Demme, Thomas Harris, Ted Tally, Jodie Foster, Anthony Hopkins",23,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",N/A,2024-08-05T11:10:07.709806,2024-08-05T11:10:07.709808
24. Saving Private Ryan,"Steven Spielberg, Robert Rodat, Tom Hanks, Matt Damon, Tom Sizemore",24,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",N/A,2024-08-05T11:10:09.049352,2024-08-05T11:10:09.049355
25. City of God,"Fernando Meirelles, Kátia Lund, Paulo Lins, Bráulio Mantovani, Alexandre Rodrigues",25,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",N/A,2024-08-05T11:10:10.550209,2024-08-05T11:10:10.550212
